"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Belgium","BEL","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","110.47208","109.21879","102.8269","104.63377","104.12327","104.04279","103.75432","103.13015","102.08331","101.85352","101.22645","100.30394","97.0291","96.06272","95.32846","95.68274","97.12022","98.65659","99.38732","99.33034","99.08023","98.11796","102.15084","102.18394","102.93678","104.0316","","","107.7891","109.35865","109.02171","108.21583","107.40633","105.6616","105.01889","104.85357","105.24084","105.32281","104.62502","103.69881","","","",
"Benin","BEN","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","35.3764","38.3854","42.25671","40.40201","47.05401","48.93793","51.018","51.85003","57.96688","59.30172","61.35677","65.86465","67.42774","65.37","65.58043","63.75725","64.23686","63.33612","63.01236","53.04009","60.42598","63.92088","69.36271","69.89405","73.50964","76.15989","80.03204","83.22297","83.38451","86.42855","94.91281","100.57038","104.33159","108.3979","105.37937","105.88749","","118.35066","123.92536","125.85729","128.728","","",
"Burkina Faso","BFA","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","11.77363","12.22186","12.47316","12.8636","13.3561","13.75013","14.11826","14.67733","15.2103","16.02165","17.06483","18.48373","20.09575","21.471","23.51556","25.53984","27.39334","27.92527","29.09385","30.14331","31.36616","32.14195","33.23634","34.51536","36.47292","38.46599","","40.6381","41.55511","42.28427","43.69955","44.36932","46.59714","51.03884","55.42333","59.18434","64.73768","70.25692","74.68782","75.59677","79.43585","82.05665","",
"Bangladesh","BGD","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","54.86422","50.72167","62.75906","74.44706","72.66346","77.36107","79.18491","74.0314","72.99824","72.26631","71.3841","70.23152","71.44517","72.70981","71.13175","68.83578","68.14009","66.81291","78.31225","78.10725","81.25778","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","106.28403","104.69542","102.80472","100.79826","97.5513","99.60391","101.29267","103.64865","103.94095","101.52953","100.78892","103.65707","104.91185","106.97174","108.07167","106.23824","107.2129","104.92613","102.54932","95.53493","93.99772","94.02833","94.92804","96.01481","98.00752","101.48251","102.75503","103.80292","104.19961","104.55893","105.75797","104.52148","105.34281","104.88823","101.64515","99.94875","101.72324","102.61758","103.18848","102.55865","","","",
"Bahrain","BHR","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","107.77304","111.04289","113.13644","114.12319","116.49752","113.42993","111.28592","109.35228","110.12988","110.04793","107.9688","107.06483","106.32212","110.73562","112.23557","113.68233","113.06836","113.31638","113.8935","111.39928","112.44365","108.79757","108.57602","107.88733","108.59884","108.41767","107.37112","106.41282","106.80571","106.86981","108.62791","111.27172","112.21394","111.53545","107.51588","107.30252","","","","","","","",
"Bahamas, The","BHS","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","101.82152","99.94409","96.39281","99.41189","102.5105","103.5635","105.22014","106.30634","104.21425","101.01516","101.90763","100.51353","100.90513","95.92695","105.37201","106.50066","","","","98.28519","95.12139","94.49037","95.42526","94.65452","94.57723","","100.9654","","96.87133","94.2886","","93.84755","","101.02227","106.06321","105.60031","111.95151","114.67667","112.66035","114.15852","","","",
"Bosnia and Herzegovina","BIH","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.61351","105.29249","104.94041","87.6298","90.45194","","",
"Belarus","BLR","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","98.9269","97.35354","96.04458","94.81426","94.64821","95.09447","96.5318","98.38523","99.92178","102.16097","103.53618","104.76353","105.46383","106.27829","107.05797","108.03613","93.97908","93.94956","93.13726","93.0097","94.79871","94.34795","95.80688","95.5159","96.28407","96.97001","97.72939","99.72275","108.45215","110.42572","111.29208","108.82436","99.03257","96.61384","94.98258","95.7783","97.78856","100.53332","101.60926","100.27549","98.28898","","",
"Belize","BLZ","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","113.67115","113.36547","113.96043","113.59091","","108.86491","109.48628","109.51532","","109.23646","106.61476","107.19087","108.00386","112.71604","113.30701","112.0231","113.98655","113.19539","110.92167","110.57368","110.58611","108.5107","108.75111","110.57708","111.55006","113.76798","112.02206","","109.85131","108.22279","106.64938","108.61296","107.5855","110.93099","113.90691","116.53278","117.52797","118.1467","120.25638","121.12637","121.22847","","",
"Bermuda","BMU","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","100.36446","98.26296","95.89112","96.44295","97.13604","100.41298","102.08365","103.07668","96.89532","98.13115","97.72727","97.69103","97.24336","96.02362","96.85986","","","","","","","","","","103.66893","","99.02373","","","","101.28676","101.53019","101.64583","100.41754","99.10473","97.13455","","","","92.34104","89.86975","","",
